Nom,URL,Sponsorisé,Prix (€),Étoiles,Nombre d'Avis
"SAPLOS GTX 1050 Carte Graphique pour PC, 4Go GDDR5 128-bit, HDMI DisplayPort DVI-D, GPU, Carte Vidéo Profil Bas, PCI Express x16, DirectX 12",https://www.amazon.fr/SAPLOS-Graphique-128-bit-DisplayPort-Express/dp/B0DG5HW5MX,0,"116,66","4,9 sur 5 étoiles","4,9 sur 5 étoiles 12"
"ASUS GeForce RTX 3050 LP BRK OC Edition 6 Go GDDR6 (IP5X résistance à la poussière, double roulement à billes, support en acier inoxydable, PCIe 4.0, DLSS 3, HDMI 2.1, DisplayPort 1.4a, DVI-D et plus)",https://www.amazon.fr/ASUS-r%C3%A9sistance-poussi%C3%A8re-inoxydable-DisplayPort/dp/B0CVQMD2DF,0,"233,20","4,3 sur 5 étoiles","4,3 sur 5 étoiles 17"
MAXSUN Cartes Graphiques Geforece GT 1030 Carte Graphique 2 Go GDDR5 64 Bits PCIe 3.0 DirectX 12 ITX HDCP Ready Low Profile,https://www.amazon.fr/MAXSUN-Geforece-GT-1030-graphique/dp/B09574CF5V,0,"74,99","4,1 sur 5 étoiles","4,1 sur 5 étoiles 99"
"SAPLOS GT 730 4GB Carte Graphique, 2 HDMI, DisplayPort, VGA, DDR3 64-bit, Low Profile Carte Video PC, Computer GPU, Low Power, PCI Express x8, DirectX 12",https://www.amazon.fr/SAPLOS-Graphique-DisplayPort-Profile-Computer/dp/B0CW1PYF4P,0,"79,99","4,1 sur 5 étoiles","4,1 sur 5 étoiles 332"
Gigabyte GeForce GTX 1050 Ti Windforce OC Edition 4G Carte Graphique,https://www.amazon.fr/Gigabyte-GeForce-Windforce-Carte-Graphique/dp/B01MEHGRMS,0,Non disponible,"4,5 sur 5 étoiles","4,5 sur 5 étoiles 1 611"
"QTHREE Radeon RX 550 Low Profile Carte Graphique, 4GB GDDR5 128-bit, DVI-D, HDMI, VGA, PCI Express x8, Carte Video PC, DirectX 12, Computer GPU",https://www.amazon.fr/QTHREE-Radeon-RX-550-Graphique/dp/B0BJ6ZZCBF,0,"83,32","4,2 sur 5 étoiles","4,2 sur 5 étoiles 87"
Sapphire 11265-07-20G Carte Graphique AMD Radeon RX 580 4 Go 1411 MHz PCI Express,https://www.amazon.fr/Sapphire-11265-07-20G-Graphique-Radeon-Express/dp/B071CFN75H,0,Non disponible,"4,4 sur 5 étoiles","4,4 sur 5 étoiles 237"
GIGABYTE gddr4 Graphics Card PCIe NVD GV-N1030D4-2GL (GV-N1030D4-2GL),https://www.amazon.fr/Gigabyte-Graphics-Card-PCIe-GV-N1030D4-2GL/dp/B07CQ6Q52H,0,"89,95","4,5 sur 5 étoiles","4,5 sur 5 étoiles 208"
"MSI Carte graphique NVIDIA GEFORCE GT 1030 2GHD4 LP OC '2 Go GDDR4, 1518 MHz, conception à profil bas, DisplayPort, HDMI, système de refroidissement passif sans ventilateur",https://www.amazon.fr/MSI-GEFORCE-GT-1030-2GHD4/dp/B07CMH5F9R,0,Non disponible,"4,5 sur 5 étoiles","4,5 sur 5 étoiles 532"
Zotac GeForce GT 730 4GB Carte Graphique ZT-71115-20L,https://www.amazon.fr/Zotac-zt-71115-20L-Graphique-GeForce-730-Carte/dp/B00R5UW038,0,Non disponible,"4,2 sur 5 étoiles","4,2 sur 5 étoiles 2 905"
"MSI GEFORCE GT 1030 AERO ITX 2GD4 OC Carte graphique '2 Go GDDR4, 1x SL-DVI-D, 1x HDMI, Boost Clock 1430MHz, Base Clock 1189MHz, MINI-ITX Design compact, Single Fan Cooling System, NVIDIA'",https://www.amazon.fr/MSI-GEFORCE-1030-ITX-2GD4/dp/B07CMDCNH7,0,Non disponible,"4,2 sur 5 étoiles","4,2 sur 5 étoiles 575"
"ASUS ROG CROSSHAIR VIII IMPACT - Carte mère gaming (AMD AM4 X570, mini-ITX SO-DIMM.2 (Dual M.2), Wi-Fi 6 (802.11ax), PCIe 4.0, SupremeFX, Aura Sync, SATA 6 Gb/s, USB 3.2 Gén.2)",https://www.amazon.fr/ASUS-ROG-CROSSHAIR-VIII-IMPACT/dp/B07X55Y4SX,0,Non disponible,"4,0 sur 5 étoiles","4,0 sur 5 étoiles 259"
