Nom,URL,Prix (€),Étoiles,Nombre d'Avis
"QTHREE Radeon Carte Graphique HD 5450, 2 Go, GDDR3, 64 Bits, DVI/HDMI/VGA, Profil Bas, PCI Express x16 2.0, Carte vidéo de Bureau pour PC, GPU d'ordinateur, DirectX 11",https://www.amazon.fr/HD-5450-dordinateur-construction-silencieuse/dp/B0B3RKZFLM,"45,82",4.1,153
Sapphire Nitro+ Radeon RX 7900 XT Vapor-X AMD 20 Go GDDR6,https://www.amazon.fr/Vaizdo-plok%C5%A1t%C3%84-SAPPHIRE-RX7900XT-Vapor-X/dp/B0BQND6TWL,"718,42",4.5,119
PNY Carte Graphique GeForce RTX™ 5070 12GB OC Triple Fan DLSS 4,https://www.amazon.fr/PNY-Carte-Graphique-GeForce-Triple/dp/B0DYPFGL88,"645,45",4.0,1
"ASUS Dual Radeon RX 7600 Evo OC Edition Carte Graphique GDDR6 8 Go (AMD Radeon RX7600, PCIe 4.0, 1 x HDMI 2.1, 3 x DisplayPort 1.4a, DUAL-RX7600-O8G-EVO)",https://www.amazon.fr/ASUS-Radeon-Graphique-DisplayPort-DUAL-RX7600-O8G-EVO/dp/B0DKPGQT97,"313,59",4.8,9
"MSI NVIDIA GeForce RTX 5070 12G Ventus 2X OC Carte Graphique Gaming GDDR7 192 Bits, Fréquence Boost jusqu'à 2557 MHz, PCIe Gen 5, DLSS 4, DP 2.1 x 3, HDMI 2.1 x 1, SFF Ready",https://www.amazon.fr/MSI-NVIDIA-GeForce-Graphique-Fr%C3%A9quence/dp/B0DX7JJ87N,"643,42",4.5,5
Gigabyte B550 Gaming X V2 ATX Motherboard for AMD AM4 CPUs,https://www.amazon.fr/GIGABYTE-B550-GAMING-V2-Gaming/dp/B08K16S4K1,"99,62",4.4,1639
"MSI GeForce RTX 3060 Gaming X 12G Carte Graphique - GPU RTX 3060, GDDR6 12Go (15Gbps/192 Bits), PCIe 4.0-2 x Ventilateurs TORX 4.0 - HDMI 2.1, DisplayPort 1.4a",https://www.amazon.fr/MSI-GeForce-RTX-3060-Gaming/dp/B08WHML7GL,"607,72",4.7,1132
ASUS GeForce® Carte graphique GT 1030 2 Go GDDR5 à profil bas pour une construction HTPC silencieuse (avec supports de port d'E / S),https://www.amazon.fr/GeForce-Graphique-Construction-silencieuse-Supports/dp/B0716JTSRW,"77,65",4.5,687
"ASUS TUF GAMING Radeon RX 7900 XTX OC Edition – Carte graphique gaming (24GB GDDR6X, PCIe 4.0, HDMI 2.1a, DisplayPort 2.1, ventilateurs axiaux)",https://www.amazon.fr/ASUS-Graphique-m%C3%A9moire-DisplayPort-TUF-RX7900XTX-O24G-GAMING/dp/B0BQCFCJK2,"1 218,00",4.5,311
GIGABYTE B760M Gaming X DDR4,https://www.amazon.fr/GIGABYTE-Intel-B760M-Gaming-DDR4/dp/B0BPMK4MJV,"95,79",4.6,164
